month,region,omega,productivity,predictability,growth_rate,in_window
1,industrial,0.5926550201987368,2.4287232144290045,0.7710964780243785,0.0047946798314240585,0.0
2,industrial,0.608106247875409,2.5321098142708762,0.8019989333777229,0.0049196828891679015,0.0
3,industrial,0.5940158298811736,2.4375710985281924,0.7738180973892521,0.004805689013016073,0.0
4,industrial,0.6185342919659386,2.6057774437145946,0.822855021558782,0.04287426025870539,1.0
5,industrial,0.6064792392833579,2.5209101871228294,0.7987449161936206,0.0049065201131582685,0.0
6,industrial,0.5906297218131603,2.4156424563527406,0.7670458812532255,0.0047782948232979435,0.0
7,industrial,0.5820637274083769,2.3614377544795855,0.7499138924436586,0.004708994472826038,0.0
8,industrial,0.5809947680469919,2.3547965641848783,0.7477759737208887,0.004700346409929472,0.0
9,industrial,0.5746044802942297,2.3156397644545876,0.7349953982153643,0.004648647896020165,0.0
10,industrial,0.5779432548934219,2.3359832138746626,0.7416729474137487,0.004675659149931503,0.0
11,industrial,0.5926927459499033,2.428967863283833,0.7711719295267114,0.0047949850391622514,0.0
12,industrial,0.6006430653750037,2.481356584883862,0.7870725683769122,0.004859304474418406,0.0
13,industrial,0.6056056205827232,2.5149281200028186,0.7969976787923512,0.004899452389404095,0.0
14,industrial,0.6126165091694126,2.563564491190118,0.81101945596573,0.004956171669527106,0.0
15,industrial,0.6175924153270879,2.5989852509550198,0.8209712682810806,0.004996427595966849,0.0
16,industrial,0.6095746151967143,2.542283820198396,0.8049356680203335,0.00493156223033711,0.0
17,industrial,0.6052615233064785,2.512577929847258,0.7963094842398619,0.004896668583962095,0.0
18,industrial,0.6044708272043632,2.50719023929845,0.7947280920356312,0.0048902717181221215,0.0
19,industrial,0.590634103756568,2.415670645917178,0.7670546451400408,0.004778330273964795,0.0
20,industrial,0.5746873197671443,2.3161415199768376,0.7351610771611934,0.004649318081434094,0.0
21,industrial,0.5800461770225953,2.3489253899799114,0.7458787916720955,0.004692672147334988,0.0
22,industrial,0.5921221426928724,2.42527142610066,0.7700307230126497,0.004790368761842414,0.0
23,industrial,0.5921925852809609,2.425727312164005,0.7701716081888266,0.004790938654351327,0.0
24,industrial,0.6024542053147196,2.4935291522378398,0.7906948482563441,0.00487395690432262,0.0
