omega,productivity,predictability,growth_rate,gini,in_window
1.839999999999999969e-01,6.782087870317302647e-01,2.220446049250313081e-16,1.488591269649903581e-03,3.190873015719922767e-01,0.000000000000000000e+00
1.859999999999999987e-01,6.853966737040197987e-01,2.220446049250313081e-16,1.504771609537402339e-03,3.203817287629922017e-01,0.000000000000000000e+00
1.880000000000000004e-01,6.925833930483427103e-01,2.220446049250313081e-16,1.520951949424901315e-03,3.216761559539921267e-01,0.000000000000000000e+00
1.900000000000000022e-01,6.997690549363440038e-01,2.220446049250313081e-16,1.537132289312400507e-03,3.229705831449920517e-01,0.000000000000000000e+00
1.920000000000000040e-01,7.069537703275061702e-01,2.220446049250313081e-16,1.553312629199899266e-03,3.242650103359919767e-01,0.000000000000000000e+00
1.940000000000000058e-01,7.141376512826467238e-01,2.220446049250313081e-16,1.569492969087398241e-03,3.255594375269919016e-01,0.000000000000000000e+00
1.960000000000000075e-01,7.213208109776163557e-01,2.220446049250313081e-16,1.585673308974897217e-03,3.268538647179918266e-01,0.000000000000000000e+00
1.980000000000000093e-01,7.285033637172018128e-01,2.220446049250313081e-16,1.601853648862396192e-03,3.281482919089916961e-01,0.000000000000000000e+00
2.000000000000000111e-01,7.356854249492380537e-01,2.220446049250313081e-16,1.618033988749895168e-03,3.294427190999916211e-01,0.000000000000000000e+00
2.020000000000000129e-01,7.428671112789309028e-01,2.220446049250313081e-16,1.634214328637394143e-03,3.307371462909915460e-01,0.000000000000000000e+00
2.040000000000000147e-01,7.500485404833986403e-01,2.220446049250313081e-16,1.650394668524892902e-03,3.320315734819914155e-01,0.000000000000000000e+00
2.060000000000000164e-01,7.572298315264305302e-01,2.220446049250313081e-16,1.666575008412392095e-03,3.333260006729913405e-01,0.000000000000000000e+00
2.080000000000000182e-01,7.644111045734700571e-01,1.786437626904890941e-03,1.682755348299890853e-03,3.346204278639912655e-01,0.000000000000000000e+00
2.099999999999999922e-01,7.715924810068262030e-01,5.786437626904783471e-03,1.698935688187389612e-03,3.359148550549911905e-01,0.000000000000000000e+00
2.119999999999999940e-01,7.787740834411160940e-01,9.786437626904787024e-03,1.715116028074888804e-03,3.372092822459911154e-01,0.000000000000000000e+00
2.139999999999999958e-01,7.859560357389415719e-01,1.378643762690479058e-02,1.731296367962387780e-03,3.385037094369910404e-01,0.000000000000000000e+00
2.159999999999999976e-01,7.931384630268094593e-01,1.778643762690479413e-02,1.747476707849886539e-03,3.397981366279909654e-01,0.000000000000000000e+00
2.179999999999999993e-01,8.003214917112932980e-01,2.178643762690479768e-02,1.763657047737385514e-03,3.410925638189908904e-01,0.000000000000000000e+00
2.200000000000000011e-01,8.075052494954435556e-01,2.578643762690480123e-02,1.779837387624884706e-03,3.423869910099908154e-01,0.000000000000000000e+00
2.220000000000000029e-01,8.146898653954535163e-01,2.978643762690480479e-02,1.796017727512383465e-03,3.436814182009906848e-01,0.000000000000000000e+00
2.240000000000000047e-01,8.218754697575793022e-01,3.378643762690480834e-02,1.812198067399882441e-03,3.449758453919906098e-01,0.000000000000000000e+00
2.260000000000000064e-01,8.290621942753262363e-01,3.778643762690481189e-02,1.828378407287381199e-03,3.462702725829904793e-01,0.000000000000000000e+00
2.280000000000000082e-01,8.362501720068979960e-01,4.178643762690481545e-02,1.844558747174880392e-03,3.475646997739904043e-01,0.000000000000000000e+00
2.300000000000000100e-01,8.434395373929222117e-01,4.578643762690481900e-02,1.860739087062379367e-03,3.488591269649903293e-01,0.000000000000000000e+00
2.320000000000000118e-01,8.506304262744492917e-01,4.978643762690482255e-02,1.876919426949878126e-03,3.501535541559902542e-01,0.000000000000000000e+00
2.340000000000000135e-01,8.578229759112350195e-01,5.378643762690482610e-02,1.893099766837377318e-03,3.514479813469901792e-01,0.000000000000000000e+00
2.360000000000000153e-01,8.650173250003101444e-01,5.778643762690482966e-02,1.909280106724876294e-03,3.527424085379901042e-01,0.000000000000000000e+00
2.380000000000000171e-01,8.722136136948425156e-01,6.178643762690483321e-02,1.925460446612375053e-03,3.540368357289900292e-01,0.000000000000000000e+00
2.399999999999999911e-01,8.794119836232960896e-01,6.578643762690483676e-02,1.941640786499873811e-03,3.553312629199899542e-01,0.000000000000000000e+00
2.419999999999999929e-01,8.866125779088944725e-01,6.978643762690484031e-02,1.957821126387373004e-03,3.566256901109898791e-01,0.000000000000000000e+00
2.439999999999999947e-01,8.938155411893931035e-01,7.378643762690484387e-02,1.974001466274871545e-03,3.579201173019897486e-01,0.000000000000000000e+00
2.459999999999999964e-01,9.010210196371648550e-01,7.778643762690484742e-02,1.990181806162370955e-03,3.592145444929896736e-01,0.000000000000000000e+00
2.479999999999999982e-01,9.082291609796082632e-01,8.178643762690485097e-02,2.006362146049869930e-03,3.605089716839895986e-01,0.000000000000000000e+00
2.500000000000000000e-01,9.154401145198807210e-01,8.578643762690485453e-02,2.022542485937368472e-03,3.618033988749895236e-01,0.000000000000000000e+00
